date,Aapl_open,Aapl_high,Aapl_low,Aapl_close,Aapl_adjusted_close,Aapl_volume,Aapl_dividend,Aapl_split_coefficent,Aapl_Real Upper Band,Aapl_Real Lower Band,Aapl_Real Middle Band,Aapl_MACD,Aapl_MACD_Hist,Aapl_MACD_Signal,Aapl_RSI,Aapl_CCI,Aapl_Aroon Up,Aapl_Aroon Down,Aapl_Chaikin A/D,Aapl_ADX,Aapl_SMA,SPY_open,SPY_high,SPY_low,SPY_close,SPY_adjusted_close,SPY_volume,SPY_dividend,SPY_split_coefficent
2020-12-04,122.6,122.8608,121.52,122.25,122.25,78260421.0,0.0,1.0,123.8786,113.5534,118.716,1.5315,0.5785,0.953,59.7782,128.5642,92.8571,50.0,77447224012.4951,11.2675,117.3768,367.32,369.85,367.22,369.85,369.85,50749859.0,0.0,1.0
2020-12-03,123.52,123.78,122.21,122.94,122.94,78967630.0,0.0,1.0,123.4477,113.6418,118.5447,1.4071,0.5988,0.8084,61.6962,181.9677,100.0,57.1429,77440266492.9671,11.163,117.1898,366.68,368.19,365.5,366.69,366.69,62881998.0,0.0,1.0
2020-12-02,122.02,123.37,120.89,123.08,123.08,89004195.0,0.0,1.0,122.8663,113.4043,118.1353,1.1576,0.4989,0.6587,62.0715,179.1931,92.8571,64.2857,77445799256.8524,10.9136,116.9884,364.82,366.96,364.2,366.79,366.79,45927000.0,0.0,1.0
2020-12-01,121.01,123.4693,120.01,122.72,122.72,125920963.0,0.0,1.0,122.812,112.1756,117.4938,0.808,0.2741,0.5339,61.5125,156.6642,100.0,71.4286,77377610559.0702,10.7103,116.7355,365.57,367.68,364.93,366.02,366.02,72509670.0,0.0,1.0
2020-11-30,116.97,120.97,116.81,119.05,119.05,169410176.0,0.0,1.0,122.8453,110.7285,116.7869,0.3867,-0.0787,0.4654,55.2731,62.7446,0.0,78.5714,77306239694.3998,10.4963,116.575,362.83,363.12,359.17,362.06,362.06,83872709.0,0.0,1.0
2020-11-27,116.57,117.49,116.22,116.59,116.59,46691331.0,0.0,1.0,123.1798,109.3563,116.268,0.217,-0.2681,0.4851,50.2535,11.8632,7.1429,85.7143,77293208142.3998,10.6273,116.4194,363.84,364.18,362.58,363.67,363.67,28514072.0,0.0,1.0
2020-11-25,115.55,116.75,115.17,116.03,116.03,76499234.0,0.0,1.0,123.1223,109.2669,116.1946,0.2478,-0.3043,0.5521,49.0447,-4.9154,14.2857,92.8571,77312693501.0061,11.0397,116.4193,363.13,363.16,361.48,362.66,362.66,45330890.0,0.0,1.0
2020-11-24,113.91,115.85,112.59,115.17,115.17,113226248.0,0.0,1.0,123.2315,108.6555,115.9435,0.3405,-0.2877,0.6282,47.2156,-33.3666,21.4286,0.0,77305915087.8669,11.3423,116.4088,360.21,363.81,359.29,363.22,363.22,60985003.0,0.0,1.0
2020-11-23,117.18,117.6202,113.75,113.85,113.85,127959318.0,0.0,1.0,123.2866,108.7233,116.005,0.5414,-0.1587,0.7001,44.3695,-23.3789,28.5714,0.0,77239924329.8301,11.5008,116.3769,357.28,358.82,354.865,357.46,357.46,63230608.0,0.0,1.0
2020-11-20,118.64,118.77,117.29,117.34,117.34,73604287.0,0.0,1.0,123.2903,108.8198,116.055,0.9243,0.1845,0.7398,51.1391,40.4272,35.7143,0.0,77361271104.9124,11.8445,116.3997,357.5,357.72,355.25,355.33,355.33,70411890.0,0.0,1.0
