date,Amzn_open,Amzn_high,Amzn_low,Amzn_close,Amzn_adjusted_close,Amzn_volume,Amzn_dividend,Amzn_split_coefficent,Amzn_Real Upper Band,Amzn_Real Lower Band,Amzn_Real Middle Band,Amzn_MACD_Signal,Amzn_MACD_Hist,Amzn_MACD,Amzn_RSI,Amzn_CCI,Amzn_Aroon Up,Amzn_Aroon Down,Amzn_Chaikin A/D,Amzn_ADX,Amzn_SMA,SPY_open,SPY_high,SPY_low,SPY_close,SPY_adjusted_close,SPY_volume,SPY_dividend,SPY_split_coefficent
2020-12-04,3198.21,3198.21,3158.76,3162.58,3162.58,2913611.0,0.0,1.0,3263.0166,3036.2864,3149.6515,-5.5326,8.2465,2.7139,49.7331,32.8416,78.5714,42.8571,1830356795.9473,9.5711,3191.2658,367.32,369.85,367.22,369.85,369.85,50749859.0,0.0,1.0
2020-12-03,3205.46,3228.64,3181.31,3186.73,3186.73,2892039.0,0.0,1.0,3293.6551,3021.5899,3157.6225,-7.5943,11.062,3.4677,51.968,50.6926,85.7143,50.0,1832706148.6953,9.571,3191.965,366.68,368.19,365.5,366.69,366.69,62881998.0,0.0,1.0
2020-12-02,3221.65,3232.0,3173.2601,3203.53,3203.53,3129304.0,0.0,1.0,3300.706,3019.982,3160.344,-10.3598,12.2803,1.9206,53.5217,54.6553,92.8571,0.0,1834935823.386,9.711,3192.189,364.82,366.96,364.2,366.79,366.79,45927000.0,0.0,1.0
2020-12-01,3188.5,3248.95,3157.18,3220.08,3220.08,4493554.0,0.0,1.0,3299.536,3005.64,3152.588,-13.4299,11.6372,-1.7927,55.0265,69.1406,100.0,0.0,1834839935.6799,9.8584,3189.5998,365.57,367.68,364.93,366.02,366.02,72509670.0,0.0,1.0
2020-11-30,3208.48,3228.39,3125.55,3168.04,3168.04,4063916.0,0.0,1.0,3298.6679,2984.9481,3141.808,-16.3392,8.148,-8.1912,51.0042,37.8393,0.0,7.1429,1833173643.399,10.0135,3189.0778,362.83,363.12,359.17,362.06,362.06,83872709.0,0.0,1.0
2020-11-27,3211.26,3216.19,3190.05,3195.34,3195.34,2392867.0,0.0,1.0,3298.0821,2972.3449,3135.2135,-18.3762,7.436,-10.9402,53.3275,73.9887,0.0,14.2857,1833879414.8863,10.0443,3188.0018,363.84,364.18,362.58,363.67,363.67,28514072.0,0.0,1.0
2020-11-25,3141.87,3198.0,3140.26,3185.07,3185.07,3790403.0,0.0,1.0,3300.1607,2971.8333,3135.997,-20.2352,3.1658,-17.0694,52.5729,42.8828,0.0,21.4286,1835303784.0722,10.4366,3188.6498,363.13,363.16,361.48,362.66,362.66,45330890.0,0.0,1.0
2020-11-24,3100.5,3134.25,3086.258,3118.06,3118.06,3570889.0,0.0,1.0,3297.9977,2971.7673,3134.8825,-21.0266,-2.572,-23.5986,47.422,-27.7803,7.1429,28.5714,1833210987.9579,10.738,3187.7413,360.21,363.81,359.29,363.22,363.22,60985003.0,0.0,1.0
2020-11-23,3116.6986,3139.745,3065.46,3098.39,3098.39,4708887.0,0.0,1.0,3318.9493,2967.6427,3143.296,-20.3836,-4.3825,-24.7661,45.818,-44.2715,14.2857,0.0,1832049362.7065,10.6486,3188.4118,357.28,358.82,354.865,357.46,357.46,63230608.0,0.0,1.0
2020-11-20,3117.02,3132.89,3098.0456,3099.4,3099.4,3380138.0,0.0,1.0,3325.2091,2972.2479,3148.7285,-19.288,-4.6053,-23.8933,45.8847,-39.9261,21.4286,0.0,1832583419.0163,10.5544,3190.3033,357.5,357.72,355.25,355.33,355.33,70411890.0,0.0,1.0
2020-11-19,3105.31,3125.0,3080.92,3117.02,3117.02,3010270.0,0.0,1.0,3330.5241,2977.4329,3153.9785,-18.1367,-4.398,-22.5346,46.9936,-46.1048,28.5714,7.1429,1835700785.4428,10.6178,3190.1965,355.6,358.18,354.15,357.78,357.78,59940947.0,0.0,1.0
2020-11-18,3134.0,3140.0,3105.1,3105.46,3105.46,2916836.0,0.0,1.0,3332.9033,2980.9917,3156.9475,-17.0372,-5.2295,-22.2667,46.2016,-41.0132,35.7143,14.2857,1833780440.7877,10.6374,3187.7658,360.91,361.5,356.24,356.28,356.28,70591299.0,0.0,1.0
2020-11-17,3183.5445,3189.25,3135.26,3135.66,3135.66,3444735.0,0.0,1.0,3335.6321,2986.2109,3160.9215,-15.7298,-4.6939,-20.4237,47.9393,-8.1425,42.8571,21.4286,1836637101.3745,10.7732,3185.1258,359.97,361.92,358.34,360.62,360.62,66111009.0,0.0,1.0
2020-11-16,3093.2,3142.7,3072.685,3131.06,3131.06,3808676.0,0.0,1.0,3340.9412,2989.0368,3164.989,-14.5563,-6.2931,-20.8494,47.6609,-48.7871,50.0,28.5714,1840030793.811,11.0601,3184.959,360.98,362.78,359.59,362.57,362.57,74541138.0,0.0,1.0
2020-11-13,3122.0,3141.7227,3085.39,3128.81,3128.81,3762587.0,0.0,1.0,3344.9427,2992.6503,3168.7965,-12.983,-7.6379,-20.621,47.5334,-51.8964,57.1429,35.7143,1837488503.261,11.1093,3180.6943,355.27,358.9,354.71,358.1,358.1,62959429.0,0.0,1.0
2020-11-12,3159.95,3175.88,3086.05,3110.28,3110.28,4371208.0,0.0,1.0,3356.7129,2995.2701,3175.9915,-11.0736,-8.7269,-19.8004,46.5379,-54.1396,64.2857,42.8571,1835450852.4759,11.2177,3176.3468,355.58,356.7182,351.26,353.21,353.21,68118563.0,0.0,1.0
2020-11-11,3061.78,3139.145,3050.0,3137.39,3137.39,4366923.0,0.0,1.0,3378.6341,2996.1859,3187.41,-8.8918,-7.6866,-16.5784,47.7693,-76.7819,71.4286,50.0,1837463953.6109,11.3347,3173.808,356.4,357.56,355.06,356.67,356.67,58649048.0,0.0,1.0
2020-11-10,3095.02,3114.0,3019.4828,3035.02,3035.02,6590956.0,0.0,1.0,3403.104,2994.348,3198.726,-6.9702,-8.0149,-14.9851,42.4278,-133.7006,78.5714,57.1429,1833268974.0708,11.2728,3172.3258,353.49,355.18,350.51,354.04,354.04,85552022.0,0.0,1.0
2020-11-09,3231.03,3289.0,3112.1057,3143.74,3143.74,7190406.0,0.0,1.0,3435.3426,3002.9704,3219.1565,-4.9665,2.6561,-2.3104,47.1867,-35.4961,85.7143,64.2857,1837693022.8504,11.0808,3175.3535,363.97,364.38,354.06,354.56,354.56,172304203.0,0.0,1.0
2020-11-06,3304.64,3322.0,3232.0,3311.37,3311.37,4647330.0,0.0,1.0,3468.0362,3000.1958,3234.116,-5.6305,8.4615,2.8311,56.2142,40.481,92.8571,71.4286,1842311684.4751,11.2415,3174.3343,349.93,351.51,347.65,350.16,350.16,74972973.0,0.0,1.0
2020-11-05,3319.97,3366.8,3288.88,3322.0,3322.0,5789285.0,0.0,1.0,3465.4115,3000.3485,3232.88,-7.7459,0.0304,-7.7155,56.8546,71.6305,0.0,78.5714,1838762157.0951,11.7199,3169.4555,349.24,352.19,348.86,350.24,350.24,82039749.0,0.0,1.0
2020-11-04,3159.99,3244.85,3139.73,3241.16,3241.16,6839041.0,0.0,1.0,3455.8026,2996.8124,3226.3075,-7.7535,-14.3934,-22.1468,53.0795,-15.582,7.1429,85.7143,1839629955.4627,11.9412,3165.7833,340.86,347.94,339.59,343.54,343.54,126959700.0,0.0,1.0
2020-11-03,3018.53,3074.9,2980.98,3048.41,3048.41,4897880.0,0.0,1.0,3453.7962,2994.2718,3224.034,-4.1551,-27.8582,-32.0134,41.8059,-154.0634,0.0,92.8571,1833271052.6151,12.3824,3166.4695,333.69,338.25,330.2935,336.03,336.03,93294192.0,0.0,1.0
2020-11-02,3061.74,3079.705,2950.12,3004.48,3004.48,7257350.0,0.0,1.0,3449.4886,3003.7344,3226.6115,2.8094,-27.325,-24.5155,38.6883,-184.406,0.0,100.0,1831136052.5384,11.82,3169.0053,330.2,332.36,327.24,330.2,330.2,86068299.0,0.0,1.0
2020-10-30,3157.75,3167.004,3019.0,3036.15,3036.15,8396081.0,0.0,1.0,3435.2868,3037.4082,3236.3475,9.6407,-19.7568,-10.1161,40.1274,-151.8106,0.0,100.0,1832304587.5367,11.2281,3176.2588,328.28,329.69,322.6,326.54,326.54,120448685.0,0.0,1.0
2020-10-29,3201.27,3257.25,3164.0,3211.01,3211.01,6596529.0,0.0,1.0,3425.0772,3056.5028,3240.79,14.5799,-9.3946,5.1853,49.5833,-30.5863,7.1429,64.2857,1838754872.6237,10.9047,3184.555,326.91,333.395,325.09,329.98,329.98,90597689.0,0.0,1.0
2020-10-28,3249.3,3264.02,3162.47,3162.78,3162.78,5588330.0,0.0,1.0,3425.3123,3057.2927,3241.3025,16.9285,-10.0923,6.8362,46.345,-43.9761,14.2857,71.4286,1838700402.6255,11.3197,3192.566,332.1,338.2483,326.13,326.66,326.66,127094307.0,0.0,1.0
2020-10-27,3224.94,3291.66,3211.3,3286.33,3286.33,4291047.0,0.0,1.0,3425.9063,3055.2937,3240.6,19.4516,-5.6971,13.7546,54.7027,20.9633,21.4286,78.5714,1844254613.821,11.7565,3200.9745,339.76,340.12,337.99,338.22,338.22,65994108.0,0.0,1.0
2020-10-26,3198.74,3282.9799,3153.3,3207.04,3207.04,5901151.0,0.0,1.0,3422.0814,3044.9736,3233.5275,20.8759,-11.0707,9.8052,49.2486,-19.2986,28.5714,0.0,1840532787.3414,12.2497,3205.0903,342.13,342.98,335.62,339.39,339.39,91473002.0,0.0,1.0
2020-10-23,3191.0,3205.33,3140.0,3204.4,3204.4,3466687.0,0.0,1.0,3421.9013,3041.8547,3231.878,23.6435,-10.9486,12.6949,49.059,-44.0369,35.7143,7.1429,1841543005.2864,12.8177,3209.9593,345.93,345.99,343.13,345.78,345.78,49143931.0,0.0,1.0
2020-10-22,3189.87,3198.75,3121.94,3176.4,3176.4,4212005.0,0.0,1.0,3425.3579,3027.4711,3226.4145,26.3807,-9.9133,16.4674,47.1128,-51.5966,42.8571,14.2857,1838175017.7785,13.1135,3214.8493,342.96,345.24,340.65,344.61,344.61,55399292.0,0.0,1.0
2020-10-21,3212.5,3233.875,3160.0,3184.94,3184.94,4592736.0,0.0,1.0,3436.2343,3000.9337,3218.584,28.859,-4.9652,23.8939,47.6281,-20.7266,50.0,21.4286,1836414212.1471,13.3846,3221.4855,343.33,348.6847,342.4,342.73,342.73,63574979.0,0.0,1.0
2020-10-20,3222.28,3266.0,3192.01,3217.01,3217.01,4509678.0,0.0,1.0,3446.7553,2971.9047,3209.33,30.1003,2.0553,32.1556,49.5169,9.9366,57.1429,28.5714,1837905957.6675,13.8673,3225.5243,343.46,346.88,342.64,343.38,343.38,60051880.0,0.0,1.0
2020-10-19,3299.61,3329.0,3192.735,3207.21,3207.21,5223626.0,0.0,1.0,3444.8715,2964.9865,3204.929,29.5865,9.3812,38.9676,48.9423,27.1608,64.2857,35.7143,1839368144.1146,14.5449,3227.7855,348.65,349.33,341.04,342.01,342.01,68425614.0,0.0,1.0
2020-10-16,3363.23,3399.6606,3160.0,3272.71,3272.71,6474353.0,0.0,1.0,3455.1079,2930.0761,3192.592,27.2412,20.8521,48.0932,52.6619,57.6521,71.4286,42.8571,1843481991.575,15.262,3229.7233,348.96,350.75,347.1,347.29,347.29,89501868.0,0.0,1.0
2020-10-15,3292.01,3355.88,3280.0,3338.65,3338.65,5223448.0,0.0,1.0,3455.8424,2897.5616,3176.702,22.0282,30.3441,52.3722,56.6894,95.8524,78.5714,0.0,1843866696.7427,16.0168,3230.3398,343.71,348.02,343.13,347.5,347.5,60357659.0,0.0,1.0
2020-10-14,3447.0,3464.88,3340.0,3363.71,3363.71,5828916.0,0.0,1.0,3438.106,2882.306,3160.206,14.4421,35.9159,50.3581,58.2618,149.1272,85.7143,0.0,1841015415.5598,16.2756,3228.3855,350.75,351.93,347.14,347.93,347.93,57958749.0,0.0,1.0
