date,Msft_open,Msft_high,Msft_low,Msft_close,Msft_adjusted_close,Msft_volume,Msft_dividend,Msft_split_coefficent,Msft_Real Middle Band,Msft_Real Upper Band,Msft_Real Lower Band,Msft_MACD,Msft_MACD_Hist,Msft_MACD_Signal,Msft_RSI,Msft_CCI,Msft_Aroon Down,Msft_Aroon Up,Msft_Chaikin A/D,Msft_ADX,Msft_SMA,Aapl_open,Aapl_high,Aapl_low,Aapl_close,Aapl_adjusted_close,Aapl_volume,Aapl_dividend,Aapl_split_coefficent,Aapl_Real Upper Band,Aapl_Real Lower Band,Aapl_Real Middle Band,Aapl_MACD,Aapl_MACD_Hist,Aapl_MACD_Signal,Aapl_RSI,Aapl_CCI,Aapl_Aroon Up,Aapl_Aroon Down,Aapl_Chaikin A/D,Aapl_ADX,Aapl_SMA,Googl_open,Googl_high,Googl_low,Googl_close,Googl_adjusted_close,Googl_volume,Googl_dividend,Googl_split_coefficent,Googl_Real Upper Band,Googl_Real Middle Band,Googl_Real Lower Band,Googl_MACD_Hist,Googl_MACD_Signal,Googl_MACD,Googl_RSI,Googl_CCI,Googl_Aroon Up,Googl_Aroon Down,Googl_Chaikin A/D,Googl_ADX,Googl_SMA,Fb_open,Fb_high,Fb_low,Fb_close,Fb_adjusted_close,Fb_volume,Fb_dividend,Fb_split_coefficent,Fb_Real Middle Band,Fb_Real Upper Band,Fb_Real Lower Band,Fb_MACD,Fb_MACD_Hist,Fb_MACD_Signal,Fb_RSI,Fb_CCI,Fb_Aroon Down,Fb_Aroon Up,Fb_Chaikin A/D,Fb_ADX,Fb_SMA,Amzn_open,Amzn_high,Amzn_low,Amzn_close,Amzn_adjusted_close,Amzn_volume,Amzn_dividend,Amzn_split_coefficent,Amzn_Real Upper Band,Amzn_Real Lower Band,Amzn_Real Middle Band,Amzn_MACD_Signal,Amzn_MACD_Hist,Amzn_MACD,Amzn_RSI,Amzn_CCI,Amzn_Aroon Up,Amzn_Aroon Down,Amzn_Chaikin A/D,Amzn_ADX,Amzn_SMA,SPY_open,SPY_high,SPY_low,SPY_close,SPY_adjusted_close,SPY_volume,SPY_dividend,SPY_split_coefficent
2020-12-04,214.22,215.38,213.18,214.36,214.36,24666039.0,0.0,1.0,214.4967,220.3049,208.6884,0.5821,0.0543,0.5277,51.4212,-7.6208,42.8571,78.5714,-2416202131.3633,6.9729,213.8824,122.6,122.8608,121.52,122.25,122.25,78260421.0,0.0,1.0,123.8786,113.5534,118.716,1.5315,0.5785,0.953,59.7782,128.5642,92.8571,50.0,77447224012.4951,11.2675,117.3768,1820.22,1829.4994,1813.59,1823.76,1823.76,1027242.0,0.0,1.0,1824.7629,1767.77,1710.7771,0.1065,46.2979,46.4044,66.5566,164.9722,92.8571,42.8571,393082024.667,23.0985,1680.9018,280.3,283.46,279.3,279.7,279.7,10880299.0,0.0,1.0,277.6515,289.4877,265.8153,2.2638,0.5526,1.7112,52.4468,48.2059,42.8571,85.7143,1625962406.7313,8.5336,275.6293,3198.21,3198.21,3158.76,3162.58,3162.58,2913611.0,0.0,1.0,3263.0166,3036.2864,3149.6515,-5.5326,8.2465,2.7139,49.7331,32.8416,78.5714,42.8571,1830356795.9473,9.5711,3191.2658,367.32,369.85,367.22,369.85,369.85,50749859.0,0.0,1.0
2020-12-03,214.61,216.3757,213.65,214.24,214.24,25120922.0,0.0,1.0,214.9136,221.7322,208.0951,0.6105,0.0963,0.5142,51.2282,-4.9803,50.0,0.0,-2417996025.1087,7.2285,213.774,123.52,123.78,122.21,122.94,122.94,78967630.0,0.0,1.0,123.4477,113.6418,118.5447,1.4071,0.5988,0.8084,61.6962,181.9677,100.0,57.1429,77440266492.9671,11.163,117.1898,1820.54,1843.83,1817.0,1821.84,1821.84,1236366.0,0.0,1.0,1815.5915,1764.707,1713.8225,-0.3077,46.2713,45.9636,66.3365,227.2322,100.0,50.0,392795948.611,22.6422,1672.3935,286.25,286.65,281.07,281.85,281.85,12921694.0,0.0,1.0,278.4005,292.3649,264.4361,2.3977,0.8247,1.573,54.2952,61.397,50.0,92.8571,1634750340.539,8.5667,275.2308,3205.46,3228.64,3181.31,3186.73,3186.73,2892039.0,0.0,1.0,3293.6551,3021.5899,3157.6225,-7.5943,11.062,3.4677,51.968,50.6926,85.7143,50.0,1832706148.6953,9.571,3191.965,366.68,368.19,365.5,366.69,366.69,62881998.0,0.0,1.0
2020-12-02,214.88,215.47,212.8,215.37,215.37,23724509.0,0.0,1.0,214.9925,221.8146,208.1704,0.65,0.1599,0.4901,53.0719,-11.5122,57.1429,7.1429,-2403750360.0923,7.5545,213.6499,122.02,123.37,120.89,123.08,123.08,89004195.0,0.0,1.0,122.8663,113.4043,118.1353,1.1576,0.4989,0.6587,62.0715,179.1931,92.8571,64.2857,77445799256.8524,10.9136,116.9884,1795.36,1832.74,1785.1695,1824.97,1824.97,1471235.0,0.0,1.0,1805.0637,1760.9075,1716.7513,-1.4203,46.3482,44.9279,67.0039,233.8878,100.0,57.1429,393586245.9237,22.1025,1663.326,285.36,291.78,280.825,287.52,287.52,17361624.0,0.0,1.0,278.677,293.1147,264.2393,2.3148,0.9479,1.3668,59.4237,100.5514,57.1429,100.0,1644059517.9369,8.4762,274.6375,3221.65,3232.0,3173.2601,3203.53,3203.53,3129304.0,0.0,1.0,3300.706,3019.982,3160.344,-10.3598,12.2803,1.9206,53.5217,54.6553,92.8571,0.0,1834935823.386,9.711,3192.189,364.82,366.96,364.2,366.79,366.79,45927000.0,0.0,1.0
2020-12-01,214.51,217.32,213.35,216.21,216.21,30498026.0,0.0,1.0,214.5182,222.4053,206.6311,0.576,0.1259,0.4501,54.424,26.9444,64.2857,14.2857,-2425697752.3132,7.788,213.3998,121.01,123.4693,120.01,122.72,122.72,125920963.0,0.0,1.0,122.812,112.1756,117.4938,0.808,0.2741,0.5339,61.5125,156.6642,100.0,71.4286,77377610559.0702,10.7103,116.7355,1766.655,1821.7199,1763.03,1795.36,1795.36,1861965.0,0.0,1.0,1810.7965,1751.942,1693.0875,-4.0694,46.7032,42.6338,63.8052,152.3895,100.0,64.2857,392595623.7384,21.6305,1653.9773,279.16,289.3,278.96,286.55,286.55,20602115.0,0.0,1.0,277.566,292.5212,262.6108,1.598,0.4681,1.1298,58.8056,96.5342,0.0,100.0,1640200498.8186,8.3809,273.916,3188.5,3248.95,3157.18,3220.08,3220.08,4493554.0,0.0,1.0,3299.536,3005.64,3152.588,-13.4299,11.6372,-1.7927,55.0265,69.1406,100.0,0.0,1834839935.6799,9.8584,3189.5998,365.57,367.68,364.93,366.02,366.02,72509670.0,0.0,1.0
2020-11-30,214.1,214.76,210.835,214.07,214.07,33064753.0,0.0,1.0,213.7974,223.3856,204.2092,0.3876,-0.031,0.4186,51.5011,-11.5396,71.4286,0.0,-2439141466.545,8.0951,213.2401,116.97,120.97,116.81,119.05,119.05,169410176.0,0.0,1.0,122.8453,110.7285,116.7869,0.3867,-0.0787,0.4654,55.2731,62.7446,0.0,78.5714,77306239694.3998,10.4963,116.575,1775.65,1780.335,1747.84,1754.4,1754.4,1620887.0,0.0,1.0,1821.183,1743.39,1665.597,-5.6201,47.7206,42.1004,58.657,46.2122,0.0,71.4286,392406219.4755,21.2295,1646.164,276.03,277.7,271.01,276.97,276.97,16693336.0,0.0,1.0,276.3065,292.2344,260.3786,0.7586,-0.2542,1.0128,52.1159,-10.2099,7.1429,0.0,1630556955.6272,8.4162,273.3685,3208.48,3228.39,3125.55,3168.04,3168.04,4063916.0,0.0,1.0,3298.6679,2984.9481,3141.808,-16.3392,8.148,-8.1912,51.0042,37.8393,0.0,7.1429,1833173643.399,10.0135,3189.0778,362.83,363.12,359.17,362.06,362.06,83872709.0,0.0,1.0
2020-11-27,214.85,216.27,214.04,215.23,215.23,14512213.0,0.0,1.0,213.1906,224.0807,202.3006,0.3595,-0.0669,0.4264,53.219,32.3125,78.5714,7.1429,-2460580905.1144,8.1166,213.0295,116.57,117.49,116.22,116.59,116.59,46691331.0,0.0,1.0,123.1798,109.3563,116.268,0.217,-0.2681,0.4851,50.2535,11.8632,7.1429,85.7143,77293208142.3998,10.6273,116.4194,1764.54,1797.01,1764.54,1787.02,1787.02,739507.0,0.0,1.0,1831.7452,1736.4755,1641.2058,-4.1479,49.1256,44.9778,65.552,94.8208,7.1429,78.5714,393372666.1789,21.1946,1638.694,277.39,279.13,274.82,277.81,277.81,7808426.0,0.0,1.0,275.6135,292.5403,258.6867,0.6517,-0.4247,1.0764,52.8142,19.3286,14.2857,0.0,1617506709.397,8.5542,272.9428,3211.26,3216.19,3190.05,3195.34,3195.34,2392867.0,0.0,1.0,3298.0821,2972.3449,3135.2135,-18.3762,7.436,-10.9402,53.3275,73.9887,0.0,14.2857,1833879414.8863,10.0443,3188.0018,363.84,364.18,362.58,363.67,363.67,28514072.0,0.0,1.0
2020-11-25,215.11,215.29,212.46,213.87,213.87,21012887.0,0.0,1.0,212.6381,224.1613,201.1149,0.2002,-0.2429,0.4431,51.4561,17.9551,85.7143,14.2857,-2461557062.9395,8.4876,212.9461,115.55,116.75,115.17,116.03,116.03,76499234.0,0.0,1.0,123.1223,109.2669,116.1946,0.2478,-0.3043,0.5521,49.0447,-4.9154,14.2857,92.8571,77312693501.0061,11.0397,116.4193,1767.81,1770.38,1748.36,1764.13,1764.13,979957.0,0.0,1.0,1845.3289,1724.9685,1604.6081,-5.4879,50.1626,44.6747,62.6946,51.9866,14.2857,85.7143,393088205.371,20.8915,1631.216,278.14,280.18,272.65,275.59,275.59,12467009.0,0.0,1.0,275.7645,292.8204,258.7086,0.4202,-0.7624,1.1825,51.2099,5.0128,21.4286,0.0,1614481170.7844,8.9367,272.6633,3141.87,3198.0,3140.26,3185.07,3185.07,3790403.0,0.0,1.0,3300.1607,2971.8333,3135.997,-20.2352,3.1658,-17.0694,52.5729,42.8828,0.0,21.4286,1835303784.0722,10.4366,3188.6498,363.13,363.16,361.48,362.66,362.66,45330890.0,0.0,1.0
2020-11-24,209.59,214.25,208.86,213.86,213.86,33830438.0,0.0,1.0,212.0517,224.4264,199.6771,0.1324,-0.3714,0.5038,51.4436,1.6772,92.8571,21.4286,-2461482812.4554,8.7649,212.8437,113.91,115.85,112.59,115.17,115.17,113226248.0,0.0,1.0,123.2315,108.6555,115.9435,0.3405,-0.2877,0.6282,47.2156,-33.3666,21.4286,0.0,77305915087.8669,11.3423,116.4088,1727.5,1766.475,1720.73,1763.9,1763.9,1360436.0,0.0,1.0,1863.0062,1712.302,1561.5978,-5.5658,51.5346,45.9687,62.6657,40.8019,21.4286,0.0,392664536.4046,20.8306,1623.7528,268.49,277.8199,267.87,276.92,276.92,16852501.0,0.0,1.0,275.3685,292.7862,257.9508,0.3446,-1.0285,1.3731,52.1972,-13.9092,28.5714,7.1429,1617212985.5055,9.3393,272.321,3100.5,3134.25,3086.258,3118.06,3118.06,3570889.0,0.0,1.0,3297.9977,2971.7673,3134.8825,-21.0266,-2.572,-23.5986,47.422,-27.7803,7.1429,28.5714,1833210987.9579,10.738,3187.7413,360.21,363.81,359.29,363.22,363.22,60985003.0,0.0,1.0
2020-11-23,210.95,212.29,208.16,210.11,210.11,25683507.0,0.0,1.0,211.993,224.3439,199.6422,0.045,-0.5517,0.5967,46.6637,-28.4327,0.0,28.5714,-2490417565.55,8.9378,212.665,117.18,117.6202,113.75,113.85,113.85,127959318.0,0.0,1.0,123.2866,108.7233,116.005,0.5414,-0.1587,0.7001,44.3695,-23.3789,28.5714,0.0,77239924329.8301,11.5008,116.3769,1740.22,1745.99,1710.18,1727.56,1727.56,1127618.0,0.0,1.0,1860.5115,1704.051,1547.5905,-5.9509,52.926,46.9752,57.8794,21.5839,28.5714,0.0,391457259.1193,20.8051,1616.3058,270.89,270.9471,264.53,268.43,268.43,20990786.0,0.0,1.0,275.687,293.4363,257.9377,0.1077,-1.5225,1.6302,46.0295,-83.7849,0.0,14.2857,1603408870.0471,9.6167,271.9428,3116.6986,3139.745,3065.46,3098.39,3098.39,4708887.0,0.0,1.0,3318.9493,2967.6427,3143.296,-20.3836,-4.3825,-24.7661,45.818,-44.2715,14.2857,0.0,1832049362.7065,10.6486,3188.4118,357.28,358.82,354.865,357.46,357.46,63230608.0,0.0,1.0
2020-11-20,212.2,213.285,210.0,210.39,210.39,22843119.0,0.0,1.0,211.9637,224.3351,199.5924,0.3146,-0.42,0.7346,46.9844,-14.4063,0.0,35.7143,-2488987249.1796,8.8931,212.6344,118.64,118.77,117.29,117.34,117.34,73604287.0,0.0,1.0,123.2903,108.8198,116.055,0.9243,0.1845,0.7398,51.1391,40.4272,35.7143,0.0,77361271104.9124,11.8445,116.3997,1762.0,1768.3625,1735.0,1736.38,1736.38,1385322.0,0.0,1.0,1861.3035,1696.8875,1532.4715,-3.1372,54.4137,51.2765,59.6015,42.8429,35.7143,7.1429,391490322.4787,20.9827,1609.5833,272.56,273.0,269.41,269.7,269.7,18122412.0,0.0,1.0,276.121,293.5611,258.6809,0.6682,-1.3426,2.0109,46.8695,-62.3768,0.0,21.4286,1598885306.7616,9.4579,271.6525,3117.02,3132.89,3098.0456,3099.4,3099.4,3380138.0,0.0,1.0,3325.2091,2972.2479,3148.7285,-19.288,-4.6053,-23.8933,45.8847,-39.9261,21.4286,0.0,1832583419.0163,10.5544,3190.3033,357.5,357.72,355.25,355.33,355.33,70411890.0,0.0,1.0
