date,Fb_open,Fb_high,Fb_low,Fb_close,Fb_adjusted_close,Fb_volume,Fb_dividend,Fb_split_coefficent,Fb_Real Middle Band,Fb_Real Upper Band,Fb_Real Lower Band,Fb_MACD,Fb_MACD_Hist,Fb_MACD_Signal,Fb_RSI,Fb_CCI,Fb_Aroon Down,Fb_Aroon Up,Fb_Chaikin A/D,Fb_ADX,Fb_SMA,SPY_open,SPY_high,SPY_low,SPY_close,SPY_adjusted_close,SPY_volume,SPY_dividend,SPY_split_coefficent
2020-12-04,280.3,283.46,279.3,279.7,279.7,10880299.0,0.0,1.0,277.6515,289.4877,265.8153,2.2638,0.5526,1.7112,52.4468,48.2059,42.8571,85.7143,1625962406.7313,8.5336,275.6293,367.32,369.85,367.22,369.85,369.85,50749859.0,0.0,1.0
2020-12-03,286.25,286.65,281.07,281.85,281.85,12921694.0,0.0,1.0,278.4005,292.3649,264.4361,2.3977,0.8247,1.573,54.2952,61.397,50.0,92.8571,1634750340.539,8.5667,275.2308,366.68,368.19,365.5,366.69,366.69,62881998.0,0.0,1.0
2020-12-02,285.36,291.78,280.825,287.52,287.52,17361624.0,0.0,1.0,278.677,293.1147,264.2393,2.3148,0.9479,1.3668,59.4237,100.5514,57.1429,100.0,1644059517.9369,8.4762,274.6375,364.82,366.96,364.2,366.79,366.79,45927000.0,0.0,1.0
2020-12-01,279.16,289.3,278.96,286.55,286.55,20602115.0,0.0,1.0,277.566,292.5212,262.6108,1.598,0.4681,1.1298,58.8056,96.5342,0.0,100.0,1640200498.8186,8.3809,273.916,365.57,367.68,364.93,366.02,366.02,72509670.0,0.0,1.0
2020-11-30,276.03,277.7,271.01,276.97,276.97,16693336.0,0.0,1.0,276.3065,292.2344,260.3786,0.7586,-0.2542,1.0128,52.1159,-10.2099,7.1429,0.0,1630556955.6272,8.4162,273.3685,362.83,363.12,359.17,362.06,362.06,83872709.0,0.0,1.0
2020-11-27,277.39,279.13,274.82,277.81,277.81,7808426.0,0.0,1.0,275.6135,292.5403,258.6867,0.6517,-0.4247,1.0764,52.8142,19.3286,14.2857,0.0,1617506709.397,8.5542,272.9428,363.84,364.18,362.58,363.67,363.67,28514072.0,0.0,1.0
2020-11-25,278.14,280.18,272.65,275.59,275.59,12467009.0,0.0,1.0,275.7645,292.8204,258.7086,0.4202,-0.7624,1.1825,51.2099,5.0128,21.4286,0.0,1614481170.7844,8.9367,272.6633,363.13,363.16,361.48,362.66,362.66,45330890.0,0.0,1.0
2020-11-24,268.49,277.8199,267.87,276.92,276.92,16852501.0,0.0,1.0,275.3685,292.7862,257.9508,0.3446,-1.0285,1.3731,52.1972,-13.9092,28.5714,7.1429,1617212985.5055,9.3393,272.321,360.21,363.81,359.29,363.22,363.22,60985003.0,0.0,1.0
2020-11-23,270.89,270.9471,264.53,268.43,268.43,20990786.0,0.0,1.0,275.687,293.4363,257.9377,0.1077,-1.5225,1.6302,46.0295,-83.7849,0.0,14.2857,1603408870.0471,9.6167,271.9428,357.28,358.82,354.865,357.46,357.46,63230608.0,0.0,1.0
2020-11-20,272.56,273.0,269.41,269.7,269.7,18122412.0,0.0,1.0,276.121,293.5611,258.6809,0.6682,-1.3426,2.0109,46.8695,-62.3768,0.0,21.4286,1598885306.7616,9.4579,271.6525,357.5,357.72,355.25,355.33,355.33,70411890.0,0.0,1.0
2020-11-19,271.025,273.47,269.19,272.94,272.94,12963658.0,0.0,1.0,276.8755,294.4443,259.3067,1.2446,-1.1019,2.3465,48.9872,-55.3359,7.1429,28.5714,1614079863.8981,9.561,271.2805,355.6,358.18,354.15,357.78,357.78,59940947.0,0.0,1.0
2020-11-18,274.52,277.3889,271.84,271.97,271.97,12152945.0,0.0,1.0,277.1345,294.6161,259.6529,1.6323,-0.9897,2.622,48.3383,-39.7433,14.2857,35.7143,1604326831.4775,9.6695,270.6953,360.91,361.5,356.24,356.28,356.28,70591299.0,0.0,1.0
2020-11-17,277.68,277.68,273.29,275.0,275.0,15040297.0,0.0,1.0,277.4725,294.8024,260.1426,2.2022,-0.6672,2.8694,50.1902,-25.4853,21.4286,42.8571,1615910336.4624,9.9281,270.1215,359.97,361.92,358.34,360.62,360.62,66111009.0,0.0,1.0
2020-11-16,275.05,279.41,274.63,278.96,278.96,12970352.0,0.0,1.0,277.1005,294.9387,259.2623,2.589,-0.4472,3.0362,52.6375,5.7291,28.5714,50.0,1619233591.1526,10.2788,269.6153,360.98,362.78,359.59,362.57,362.57,74541138.0,0.0,1.0
2020-11-13,277.72,277.76,273.1,276.95,276.95,10400101.0,0.0,1.0,276.2225,295.2941,257.1509,2.6419,-0.5062,3.1481,51.5234,-4.473,35.7143,57.1429,1608705355.6379,10.7189,268.845,355.27,358.9,354.71,358.1,358.1,62959429.0,0.0,1.0
2020-11-12,277.18,279.75,274.43,275.08,275.08,12914206.0,0.0,1.0,275.6715,295.257,256.086,2.8755,-0.3991,3.2746,50.5179,3.9009,42.8571,64.2857,1601920740.3933,11.0932,268.2345,355.58,356.7182,351.26,353.21,353.21,68118563.0,0.0,1.0
2020-11-11,273.47,278.4,272.48,276.48,276.48,14956950.0,0.0,1.0,275.2535,295.2247,255.2823,3.3224,-0.052,3.3744,51.257,2.5172,50.0,71.4286,1611679219.3632,11.5525,267.728,356.4,357.56,355.06,356.67,356.67,58649048.0,0.0,1.0
2020-11-10,273.1,274.0,264.0,272.43,272.43,29067691.0,0.0,1.0,275.0205,295.0377,255.0033,3.7018,0.3145,3.3874,49.263,-43.9006,57.1429,78.5714,1606424074.7686,11.9683,267.404,353.49,355.18,350.51,354.04,354.04,85552022.0,0.0,1.0
2020-11-09,289.87,292.58,278.53,278.77,278.77,25117650.0,0.0,1.0,275.206,295.1925,255.2195,4.5447,1.2359,3.3088,52.3777,65.4729,64.2857,85.7143,1586483638.7426,12.1855,267.4038,363.97,364.38,354.06,354.56,354.56,172304203.0,0.0,1.0
2020-11-06,293.95,294.6,288.06,293.41,293.41,13890974.0,0.0,1.0,275.055,294.9771,255.1329,4.9089,1.9091,2.9998,60.5924,150.8538,71.4286,92.8571,1610743176.8565,12.5351,267.0883,349.93,351.51,347.65,350.16,350.16,74972973.0,0.0,1.0
2020-11-05,291.8965,297.38,288.95,294.68,294.68,23823633.0,0.0,1.0,273.607,292.1438,255.0702,3.8116,1.2891,2.5225,61.3677,186.2878,78.5714,100.0,1601907327.9513,12.3503,266.4183,349.24,352.19,348.86,350.24,350.24,82039749.0,0.0,1.0
2020-11-04,281.0,288.94,278.62,287.38,287.38,35364424.0,0.0,1.0,272.061,288.3285,255.7935,2.2264,0.0262,2.2002,58.536,126.8038,85.7143,100.0,1593344385.1292,12.1014,265.7535,340.86,347.94,339.59,343.54,343.54,126959700.0,0.0,1.0
2020-11-03,263.16,270.05,260.88,265.3,265.3,17961859.0,0.0,1.0,270.598,286.3462,254.8498,0.914,-1.2797,2.1937,47.787,-55.3265,92.8571,50.0,1568671531.1758,12.2202,265.412,333.69,338.25,330.2935,336.03,336.03,93294192.0,0.0,1.0
2020-11-02,264.6,270.47,257.34,261.36,261.36,27165679.0,0.0,1.0,270.266,286.7115,253.8205,1.4737,-1.0399,2.5136,45.4435,-74.0873,100.0,57.1429,1569317923.0482,12.3009,265.5585,330.2,332.36,327.24,330.2,330.2,86068299.0,0.0,1.0
2020-10-30,274.5,276.7,259.1,263.11,263.11,47299002.0,0.0,1.0,270.4305,286.5795,254.2815,2.5679,-0.2057,2.7736,46.3006,-42.9618,100.0,64.2857,1579849020.2386,12.3858,266.0928,328.28,329.69,322.6,326.54,326.54,120448685.0,0.0,1.0
2020-10-29,276.55,283.6,273.78,280.83,280.83,32368118.0,0.0,1.0,270.272,286.7639,253.7801,3.7489,0.9239,2.825,56.2811,83.657,42.8571,71.4286,1605594727.009,12.567,266.793,326.91,333.395,325.09,329.98,329.98,90597689.0,0.0,1.0
2020-10-28,278.79,278.79,267.26,267.67,267.67,23121808.0,0.0,1.0,269.562,285.3837,253.7403,3.3975,0.8035,2.594,48.6474,13.7171,0.0,78.5714,1591487237.6974,12.822,267.3348,332.1,338.2483,326.13,326.66,326.66,127094307.0,0.0,1.0
2020-10-27,278.76,284.51,276.31,283.29,283.29,16287249.0,0.0,1.0,269.2735,285.4295,253.1175,4.2395,1.8464,2.3931,60.2403,113.933,0.0,85.7143,1612964649.9854,13.3839,268.029,339.76,340.12,337.99,338.22,338.22,65994108.0,0.0,1.0
2020-10-26,283.16,285.23,274.26,277.11,277.11,21322925.0,0.0,1.0,268.1985,283.3082,253.0888,3.6622,1.7307,1.9315,56.4254,107.1546,7.1429,92.8571,1601523850.6878,13.3245,268.2768,342.13,342.98,335.62,339.39,339.39,91473002.0,0.0,1.0
2020-10-23,278.8024,285.24,276.82,284.79,284.79,17535155.0,0.0,1.0,267.184,282.4875,251.8805,3.5013,2.0024,1.4989,63.4508,162.43,14.2857,100.0,1611767407.1828,13.2621,268.6905,345.93,345.99,343.13,345.78,345.78,49143931.0,0.0,1.0
2020-10-22,279.87,282.45,275.04,278.12,278.12,16720026.0,0.0,1.0,265.6855,279.6065,251.7645,2.463,1.4647,0.9983,59.3713,146.7028,21.4286,92.8571,1596106556.1614,13.0041,268.9013,342.96,345.24,340.65,344.61,344.61,55399292.0,0.0,1.0
2020-10-21,279.56,283.05,276.37,278.73,278.73,28998638.0,0.0,1.0,264.256,278.6399,249.8721,1.7811,1.149,0.6321,59.9394,176.3607,28.5714,100.0,1598927073.3679,12.8796,269.546,343.33,348.6847,342.4,342.73,342.73,63574979.0,0.0,1.0
2020-10-20,263.06,269.7,262.88,267.56,267.56,18763246.0,0.0,1.0,262.7705,277.0042,248.5368,0.8227,0.4779,0.3448,52.1541,47.2196,35.7143,57.1429,1607435655.7751,12.6532,269.5983,343.46,346.88,342.64,343.38,343.38,60051880.0,0.0,1.0
2020-10-19,265.53,268.55,259.88,261.4,261.4,13586955.0,0.0,1.0,262.13,276.595,247.665,0.7248,0.4995,0.2254,46.8664,12.1787,42.8571,64.2857,1600447584.6842,13.1827,269.694,348.65,349.33,341.04,342.01,342.01,68425614.0,0.0,1.0
2020-10-16,267.375,271.37,265.3,265.93,265.93,16622702.0,0.0,1.0,261.4675,277.1666,245.7684,1.2165,1.1161,0.1005,50.692,63.9908,50.0,71.4286,1609270486.2586,13.815,269.8343,348.96,350.75,347.1,347.29,347.29,89501868.0,0.0,1.0
2020-10-15,267.6,269.04,263.67,266.72,266.72,15416064.0,0.0,1.0,260.7975,276.8181,244.7769,1.3652,1.5437,-0.1785,51.371,59.2962,0.0,78.5714,1622442676.8055,14.1075,269.9113,343.71,348.02,343.13,347.5,347.5,60357659.0,0.0,1.0
2020-10-14,277.62,278.75,271.5,271.82,271.82,15601154.0,0.0,1.0,260.2025,276.1829,244.2221,1.4547,2.0191,-0.5645,55.8563,142.9203,0.0,85.7143,1620347010.7496,14.5576,269.808,350.75,351.93,347.14,347.93,347.93,57958749.0,0.0,1.0
2020-10-13,277.58,279.1,273.39,276.14,276.14,18063343.0,0.0,1.0,259.7875,274.9497,244.6253,1.0284,2.0977,-1.0692,59.9751,179.9622,7.1429,92.8571,1634570959.431,14.4547,269.571,352.28,352.4651,349.09,350.13,350.13,73255513.0,0.0,1.0
2020-10-12,270.2,280.18,267.87,275.75,275.75,31019256.0,0.0,1.0,259.6015,274.0303,245.1727,0.0295,1.6232,-1.5937,59.7261,169.7492,14.2857,100.0,1635235285.5308,14.1968,269.1965,349.59,354.02,349.06,352.43,352.43,80388533.0,0.0,1.0
2020-10-09,264.52,264.75,262.17,264.45,264.45,14107803.0,0.0,1.0,259.1215,271.9156,246.3274,-1.2061,0.7934,-1.9995,51.6319,52.2535,0.0,57.1429,1626541830.3562,13.9253,268.8338,345.56,347.35,344.89,346.85,346.85,59528606.0,0.0,1.0
2020-10-08,259.75,264.62,259.1488,263.76,263.76,16312762.0,0.0,1.0,259.2295,272.2364,246.2226,-1.6152,0.5826,-2.1978,51.0744,34.4956,7.1429,64.2857,1615714911.7748,14.5692,268.755,342.85,343.85,341.86,343.78,343.78,45242476.0,0.0,1.0
2020-10-07,259.21,260.18,254.82,258.12,258.12,23133417.0,0.0,1.0,259.446,272.8843,246.0077,-2.0435,0.3,-2.3435,46.3835,-24.2012,14.2857,71.4286,1604530448.9852,15.2561,268.6583,338.12,341.63,338.09,340.76,340.76,56999597.0,0.0,1.0
2020-10-06,261.78,265.69,258.24,258.66,258.66,18696917.0,0.0,1.0,260.226,275.0095,245.4425,-1.9862,0.4322,-2.4185,46.7823,0.6651,21.4286,0.0,1599178688.336,15.8258,268.6085,339.91,342.17,334.38,334.93,334.93,90128883.0,0.0,1.0
2020-10-05,262.2,264.865,260.8401,264.65,264.65,12822252.0,0.0,1.0,260.851,276.3562,245.3458,-1.9392,0.5873,-2.5265,51.3276,18.7837,28.5714,0.0,1615767496.5735,16.6582,268.717,336.06,339.96,336.01,339.76,339.76,45713108.0,0.0,1.0
2020-10-02,261.21,265.15,259.18,259.94,259.94,16367597.0,0.0,1.0,261.755,279.9207,243.5893,-2.4609,0.2124,-2.6733,47.6111,-7.171,35.7143,0.0,1604315109.2559,17.3536,268.8118,331.7,337.0126,331.19,333.84,333.84,89431112.0,0.0,1.0
2020-10-01,265.35,268.33,264.8,266.63,266.63,20009801.0,0.0,1.0,263.314,285.4967,241.1313,-2.6114,0.115,-2.7264,52.943,19.9674,42.8571,7.1429,1616515411.8773,18.0856,268.9453,337.69,338.74,335.01,337.04,337.04,88698745.0,0.0,1.0
2020-09-30,261.98,266.085,260.1,261.9,261.9,20142546.0,0.0,1.0,265.1075,293.1096,237.1054,-3.4467,-0.6916,-2.7552,49.2087,-16.3722,50.0,0.0,1615778507.0246,18.4625,268.5075,333.09,338.29,332.88,334.89,334.89,104081136.0,0.0,1.0
2020-09-29,257.81,263.33,256.9,261.79,261.79,20215504.0,0.0,1.0,266.7845,297.6847,235.8843,-3.9811,-1.3989,-2.5823,49.1215,-34.3822,57.1429,7.1429,1623805235.8818,18.9915,268.2058,333.97,334.77,331.6209,332.37,332.37,51531594.0,0.0,1.0
2020-09-28,259.4,259.6,254.8208,256.82,256.82,18826254.0,0.0,1.0,268.355,301.2111,235.4989,-4.5941,-2.3616,-2.2326,45.1727,-57.7381,64.2857,0.0,1613273052.6158,19.7123,267.96,333.22,334.96,332.15,334.19,334.19,64584614.0,0.0,1.0
2020-09-25,249.4,255.75,246.61,254.82,254.82,18351311.0,0.0,1.0,270.197,304.3643,236.0297,-4.8037,-3.1615,-1.6422,43.5352,-86.1491,71.4286,0.0,1616348784.7725,20.6991,267.8813,322.58,329.58,321.64,328.73,328.73,71069426.0,0.0,1.0
2020-09-24,246.5,252.24,245.62,249.53,249.53,20006750.0,0.0,1.0,272.117,306.9219,237.3121,-4.7976,-3.9458,-0.8518,39.0653,-109.2826,78.5714,0.0,1601731985.639,21.5945,267.3733,321.22,326.797,319.8,323.5,323.5,76681332.0,0.0,1.0
2020-09-23,255.26,257.9921,248.15,249.02,249.02,19641266.0,0.0,1.0,274.836,310.6401,239.0319,-4.1814,-4.3161,0.1346,38.6304,-106.1898,85.7143,0.0,1598105384.4306,22.3056,266.9673,330.9,331.2,322.1,322.64,322.64,93112240.0,0.0,1.0
2020-09-22,253.31,255.32,248.22,254.75,254.75,30293103.0,0.0,1.0,276.426,310.2741,242.5779,-3.2823,-4.4959,1.2136,41.7383,-114.4062,92.8571,7.1429,1614274240.7985,23.1988,266.4948,328.57,330.9,325.86,330.3,330.3,63612107.0,0.0,1.0
