date,Googl_open,Googl_high,Googl_low,Googl_close,Googl_adjusted_close,Googl_volume,Googl_dividend,Googl_split_coefficent,Googl_Real Upper Band,Googl_Real Middle Band,Googl_Real Lower Band,Googl_MACD_Hist,Googl_MACD_Signal,Googl_MACD,Googl_RSI,Googl_CCI,Googl_Aroon Up,Googl_Aroon Down,Googl_Chaikin A/D,Googl_ADX,Googl_SMA,SPY_open,SPY_high,SPY_low,SPY_close,SPY_adjusted_close,SPY_volume,SPY_dividend,SPY_split_coefficent
2020-12-04,1820.22,1829.4994,1813.59,1823.76,1823.76,1027242.0,0.0,1.0,1824.7629,1767.77,1710.7771,0.1065,46.2979,46.4044,66.5566,164.9722,92.8571,42.8571,393082024.667,23.0985,1680.9018,367.32,369.85,367.22,369.85,369.85,50749859.0,0.0,1.0
2020-12-03,1820.54,1843.83,1817.0,1821.84,1821.84,1236366.0,0.0,1.0,1815.5915,1764.707,1713.8225,-0.3077,46.2713,45.9636,66.3365,227.2322,100.0,50.0,392795948.611,22.6422,1672.3935,366.68,368.19,365.5,366.69,366.69,62881998.0,0.0,1.0
2020-12-02,1795.36,1832.74,1785.1695,1824.97,1824.97,1471235.0,0.0,1.0,1805.0637,1760.9075,1716.7513,-1.4203,46.3482,44.9279,67.0039,233.8878,100.0,57.1429,393586245.9237,22.1025,1663.326,364.82,366.96,364.2,366.79,366.79,45927000.0,0.0,1.0
2020-12-01,1766.655,1821.7199,1763.03,1795.36,1795.36,1861965.0,0.0,1.0,1810.7965,1751.942,1693.0875,-4.0694,46.7032,42.6338,63.8052,152.3895,100.0,64.2857,392595623.7384,21.6305,1653.9773,365.57,367.68,364.93,366.02,366.02,72509670.0,0.0,1.0
2020-11-30,1775.65,1780.335,1747.84,1754.4,1754.4,1620887.0,0.0,1.0,1821.183,1743.39,1665.597,-5.6201,47.7206,42.1004,58.657,46.2122,0.0,71.4286,392406219.4755,21.2295,1646.164,362.83,363.12,359.17,362.06,362.06,83872709.0,0.0,1.0
2020-11-27,1764.54,1797.01,1764.54,1787.02,1787.02,739507.0,0.0,1.0,1831.7452,1736.4755,1641.2058,-4.1479,49.1256,44.9778,65.552,94.8208,7.1429,78.5714,393372666.1789,21.1946,1638.694,363.84,364.18,362.58,363.67,363.67,28514072.0,0.0,1.0
2020-11-25,1767.81,1770.38,1748.36,1764.13,1764.13,979957.0,0.0,1.0,1845.3289,1724.9685,1604.6081,-5.4879,50.1626,44.6747,62.6946,51.9866,14.2857,85.7143,393088205.371,20.8915,1631.216,363.13,363.16,361.48,362.66,362.66,45330890.0,0.0,1.0
2020-11-24,1727.5,1766.475,1720.73,1763.9,1763.9,1360436.0,0.0,1.0,1863.0062,1712.302,1561.5978,-5.5658,51.5346,45.9687,62.6657,40.8019,21.4286,0.0,392664536.4046,20.8306,1623.7528,360.21,363.81,359.29,363.22,363.22,60985003.0,0.0,1.0
2020-11-23,1740.22,1745.99,1710.18,1727.56,1727.56,1127618.0,0.0,1.0,1860.5115,1704.051,1547.5905,-5.9509,52.926,46.9752,57.8794,21.5839,28.5714,0.0,391457259.1193,20.8051,1616.3058,357.28,358.82,354.865,357.46,357.46,63230608.0,0.0,1.0
2020-11-20,1762.0,1768.3625,1735.0,1736.38,1736.38,1385322.0,0.0,1.0,1861.3035,1696.8875,1532.4715,-3.1372,54.4137,51.2765,59.6015,42.8429,35.7143,7.1429,391490322.4787,20.9827,1609.5833,357.5,357.72,355.25,355.33,355.33,70411890.0,0.0,1.0
2020-11-19,1733.23,1763.49,1730.02,1758.57,1758.57,1005340.0,0.0,1.0,1857.3394,1691.7175,1526.0956,-0.0753,55.198,55.1228,64.0536,50.3545,42.8571,0.0,392761040.0959,20.7973,1602.1503,355.6,358.18,354.15,357.78,357.78,59940947.0,0.0,1.0
2020-11-18,1756.64,1765.0,1738.5658,1740.64,1740.64,1005377.0,0.0,1.0,1850.7142,1684.122,1517.5298,1.7539,55.2169,56.9708,61.9193,52.8822,50.0,0.0,392051264.6492,20.6474,1593.7575,360.91,361.5,356.24,356.28,356.28,70591299.0,0.0,1.0
2020-11-17,1767.86,1777.14,1759.49,1761.66,1761.66,1066034.0,0.0,1.0,1846.0978,1676.3895,1506.6812,5.5481,54.7784,60.3265,66.1981,73.4156,57.1429,0.0,392898864.7561,20.3639,1585.4763,359.97,361.92,358.34,360.62,360.62,66111009.0,0.0,1.0
2020-11-16,1764.14,1794.34,1761.33,1774.03,1774.03,1273393.0,0.0,1.0,1839.1918,1665.8605,1492.5292,8.2006,53.3914,61.5919,68.7959,90.1172,64.2857,7.1429,393702769.1493,19.7539,1577.9303,360.98,362.78,359.59,362.57,362.57,74541138.0,0.0,1.0
2020-11-13,1748.0,1777.13,1735.98,1772.26,1772.26,1487877.0,0.0,1.0,1829.1621,1653.6565,1478.1509,9.7105,51.3412,61.0517,68.6323,89.3162,71.4286,14.2857,393996332.3341,19.0843,1569.333,355.27,358.9,354.71,358.1,358.1,62959429.0,0.0,1.0
2020-11-12,1742.0,1764.98,1737.97,1742.82,1742.82,1324363.0,0.0,1.0,1813.8635,1643.4285,1472.9935,10.7407,48.9136,59.6543,65.8694,90.7375,78.5714,21.4286,392860628.4078,18.5085,1561.3038,355.58,356.7182,351.26,353.21,353.21,68118563.0,0.0,1.0
2020-11-11,1748.4,1762.9,1743.06,1747.23,1747.23,1591906.0,0.0,1.0,1802.194,1634.061,1465.928,13.7722,46.2284,60.0006,66.6864,107.4808,85.7143,28.5714,393709377.8906,17.9943,1554.9093,356.4,357.56,355.06,356.67,356.67,58649048.0,0.0,1.0
