,"file_name: layers, epoch, batch",mse_scaled,mse_unscaled,overall_time
0,Stats_MSFT_CSD_3_10_100,1980.113,0.53,14.197
1,Stats_MSFT_CSD_3_10_200,909.625,0.244,12.455
2,Stats_MSFT_CSD_3_25_100,1982.902,0.531,27.866
3,Stats_MSFT_CSD_3_25_200,1837.118,0.492,23.806
4,Stats_MSFT_CSD_3_50_100,2134.137,0.572,51.237
5,Stats_MSFT_CSD_3_50_200,1521.73,0.408,42.288
6,Stats_MSFT_CSD_5_10_100,5819.541,1.559,22.994
7,Stats_MSFT_CSD_5_10_200,4292.825,1.15,19.974
8,Stats_MSFT_CSD_5_25_100,5388.957,1.444,46.784
9,Stats_MSFT_CSD_5_25_200,5143.162,1.378,39.674
10,Stats_MSFT_CSD_5_50_100,5830.557,1.562,87.025
11,Stats_MSFT_CSD_5_50_200,5185.65,1.389,73.854
