,"file_name: layers, epoch, batch",mse_scaled,mse_unscaled,overall_time
0,Stats_MSFT_CSD_3_10_100,349.484,0.094,15.27
1,Stats_MSFT_CSD_3_10_200,757.485,0.203,13.378
2,Stats_MSFT_CSD_3_25_100,2482.252,0.665,31.251
3,Stats_MSFT_CSD_3_25_200,1269.999,0.34,26.908
4,Stats_MSFT_CSD_3_50_100,2657.991,0.712,58.182
5,Stats_MSFT_CSD_3_50_200,1171.683,0.314,48.024
6,Stats_MSFT_CSD_5_10_100,2870.629,0.769,25.007
7,Stats_MSFT_CSD_5_10_200,3481.47,0.933,22.118
8,Stats_MSFT_CSD_5_25_100,3305.258,0.885,52.347
9,Stats_MSFT_CSD_5_25_200,4011.529,1.075,44.088
10,Stats_MSFT_CSD_5_50_100,5063.984,1.357,97.387
11,Stats_MSFT_CSD_5_50_200,3591.993,0.962,81.881
