,"file_name: layers, epoch, batch",mse_scaled,mse_unscaled,overall_time
0,Stats_MSFT_3_10_100,1509.275,0.294,12.526
1,Stats_MSFT_3_10_200,585.405,0.114,9.489
2,Stats_MSFT_3_25_100,818.08,0.159,23.08
3,Stats_MSFT_3_25_200,2136.198,0.416,16.607
4,Stats_MSFT_3_50_100,3838.67,0.748,41.14
5,Stats_MSFT_3_50_200,2641.778,0.515,29.439
6,Stats_MSFT_5_10_100,6889.818,1.343,19.318
7,Stats_MSFT_5_10_200,4811.469,0.938,15.249
8,Stats_MSFT_5_25_100,6430.672,1.253,36.912
9,Stats_MSFT_5_25_200,5745.702,1.12,26.999
10,Stats_MSFT_5_50_100,6246.772,1.218,66.877
11,Stats_MSFT_5_50_200,5913.586,1.153,47.712
