,"file_name: layers, epoch, batch",mse_scaled,mse_unscaled,overall_time
0,Stats_MSFT_3_10_100,390.635,0.076,13.379
1,Stats_MSFT_3_10_200,3173.728,0.619,10.139
2,Stats_MSFT_3_25_100,2392.777,0.466,25.197
3,Stats_MSFT_3_25_200,2291.502,0.447,18.63
4,Stats_MSFT_3_50_100,4565.218,0.89,46.878
5,Stats_MSFT_3_50_200,4363.815,0.851,33.144
6,Stats_MSFT_5_10_100,2208.345,0.43,20.229
7,Stats_MSFT_5_10_200,3945.726,0.769,16.5
8,Stats_MSFT_5_25_100,4694.913,0.915,40.816
9,Stats_MSFT_5_25_200,5251.259,1.024,30.574
10,Stats_MSFT_5_50_100,4635.479,0.904,73.681
11,Stats_MSFT_5_50_200,5287.608,1.031,53.571
