date,Msft_open,Msft_high,Msft_low,Msft_close,Msft_adjusted_close,Msft_volume,Msft_dividend,Msft_split_coefficent,Msft_Real Middle Band,Msft_Real Upper Band,Msft_Real Lower Band,Msft_MACD,Msft_MACD_Hist,Msft_MACD_Signal,Msft_RSI,Msft_CCI,Msft_Aroon Down,Msft_Aroon Up,Msft_Chaikin A/D,Msft_ADX,Msft_SMA,SPY_open,SPY_high,SPY_low,SPY_close,SPY_adjusted_close,SPY_volume,SPY_dividend,SPY_split_coefficent
2020-12-04,214.22,215.38,213.18,214.36,214.36,24666039.0,0.0,1.0,214.4967,220.3049,208.6884,0.5821,0.0543,0.5277,51.4212,-7.6208,42.8571,78.5714,-2416202131.3633,6.9729,213.8824,367.32,369.85,367.22,369.85,369.85,50749859.0,0.0,1.0
2020-12-03,214.61,216.3757,213.65,214.24,214.24,25120922.0,0.0,1.0,214.9136,221.7322,208.0951,0.6105,0.0963,0.5142,51.2282,-4.9803,50.0,0.0,-2417996025.1087,7.2285,213.774,366.68,368.19,365.5,366.69,366.69,62881998.0,0.0,1.0
2020-12-02,214.88,215.47,212.8,215.37,215.37,23724509.0,0.0,1.0,214.9925,221.8146,208.1704,0.65,0.1599,0.4901,53.0719,-11.5122,57.1429,7.1429,-2403750360.0923,7.5545,213.6499,364.82,366.96,364.2,366.79,366.79,45927000.0,0.0,1.0
2020-12-01,214.51,217.32,213.35,216.21,216.21,30498026.0,0.0,1.0,214.5182,222.4053,206.6311,0.576,0.1259,0.4501,54.424,26.9444,64.2857,14.2857,-2425697752.3132,7.788,213.3998,365.57,367.68,364.93,366.02,366.02,72509670.0,0.0,1.0
2020-11-30,214.1,214.76,210.835,214.07,214.07,33064753.0,0.0,1.0,213.7974,223.3856,204.2092,0.3876,-0.031,0.4186,51.5011,-11.5396,71.4286,0.0,-2439141466.545,8.0951,213.2401,362.83,363.12,359.17,362.06,362.06,83872709.0,0.0,1.0
2020-11-27,214.85,216.27,214.04,215.23,215.23,14512213.0,0.0,1.0,213.1906,224.0807,202.3006,0.3595,-0.0669,0.4264,53.219,32.3125,78.5714,7.1429,-2460580905.1144,8.1166,213.0295,363.84,364.18,362.58,363.67,363.67,28514072.0,0.0,1.0
2020-11-25,215.11,215.29,212.46,213.87,213.87,21012887.0,0.0,1.0,212.6381,224.1613,201.1149,0.2002,-0.2429,0.4431,51.4561,17.9551,85.7143,14.2857,-2461557062.9395,8.4876,212.9461,363.13,363.16,361.48,362.66,362.66,45330890.0,0.0,1.0
2020-11-24,209.59,214.25,208.86,213.86,213.86,33830438.0,0.0,1.0,212.0517,224.4264,199.6771,0.1324,-0.3714,0.5038,51.4436,1.6772,92.8571,21.4286,-2461482812.4554,8.7649,212.8437,360.21,363.81,359.29,363.22,363.22,60985003.0,0.0,1.0
2020-11-23,210.95,212.29,208.16,210.11,210.11,25683507.0,0.0,1.0,211.993,224.3439,199.6422,0.045,-0.5517,0.5967,46.6637,-28.4327,0.0,28.5714,-2490417565.55,8.9378,212.665,357.28,358.82,354.865,357.46,357.46,63230608.0,0.0,1.0
2020-11-20,212.2,213.285,210.0,210.39,210.39,22843119.0,0.0,1.0,211.9637,224.3351,199.5924,0.3146,-0.42,0.7346,46.9844,-14.4063,0.0,35.7143,-2488987249.1796,8.8931,212.6344,357.5,357.72,355.25,355.33,355.33,70411890.0,0.0,1.0
